You need not to have called me up so late at night, 1
You must be tired after such a long trip, 1
You shouldn't talk back to your parents like that, 1
You shouldn't talk back like that, 1
You shouldn't have eaten so much ice cream, 1
You are right in a way, 1
Have you ever been to America, 1
Fish if you go to America, 1
You had better not work too hard, 1
You don't exert yourself much, 1
You are too much letter-bound, 1
You cannot buy that judge, 1
Have you ever been to that village, 1
I wish you had told me the truth then, 1
Are you on the committee, 1
You should have taken a chance then, 1
Do you know how high the television tower is, 1
You must stick to your promise, 1
You're a philosopher, 1
You had better not associate with those men, 1
You are supposed to come at 7 o'clock, 1
You have to leave home at six, 1
You are expected to come by 5:00, 1
You must be at the station by 5 o'clock, 1
You must be here till five, 1
You look the way your father did thirty years ago, 1
You must keep quiet for a few days, 1
You'll be able to drive a car in a few days, 1
You may as well have a day off, 1
I would rather you had a day off, 1
Can you do it in one day, 1
You should have refused his offer, 1
You need to have breakfast, 1
Did you leave the window open, 1
You should by all means read the book, 1
You should be ashamed of your folly, 1
Are you doing what you think is right, 1
You are the only man in the world that I can call my friend, 1
It is better for you to do it now, 1
You made the mistake on purpose, 1
You had better set some money apart for your wedding, 1
You only started this job an hour ago, 1
Which party do you belong to, 1
You may as well tell me all about it, 1
You may choose either of the two books, 1
You have to report to the police at once, 1
All you have to do is wait on any customers that come to the shop, 1
You can't go naked in this hotel, 1
You must always keep your hands clean, 1
You are always digging at me about my clothes, 1
When did you begin learning German, 1
Please go on with your story, 1
Your story doesn't corroborate what I've heard before, 1
There may be some truth in your story, 1
Your story reminded me of my younger days, 1
Assuming your story is true, 1
Judging from what you say, 1
In the light of what you told us, 1
I can hardly hear you, 1
Omit needless words, 1
Please give me your permanent address, 1
Your parents didn't come, 1
Meg called you during your absence, 1
Your situation is analogous to mine, 1
I understand your position perfectly, 1
If I were in your situation, 1
I think your theory does not hold water, 1
Is there anything you want that you don't have, 1
Your summary is not up to par, 1
He came out shooting, 1
Your prophecy has come true, 1
Your friendship is most precious to me, 1
I admire you for your courage, 1
I admire your courage, 1
I admire your brave deed, 1
I rest on your promise, 1
I'll keep your problems in mind, 1
I see no analogy between your problem and mine, 1
You have lovely eyes, 1
Your eyes are red with crying, 1
Where are your eyes, 1
Your eyes have a certain magnetism, 1
Your driver's license has expired, 1
I will sell the boat in accordance with your orders, 1
Are you sure you want to put your life in her hands, 1
Write your name in capitals, 1
I know your name, 1
Didn't you hear your name called, 1
Your daughter is not a child any more, 1
I admire your ignorance, 1
I have no interest in putting my money into your dreams, 1
This business plan of yours seems almost too optimistic, 1
All I can say is I hope it's more than just wishful thinking, 1
Your dream will come true some day, 1
It won't be long before your dream comes true, 1
The day is sure to come when your dream will come true, 1
The day will surely come when your dream will come true, 1
The time will come when your dream will come true, 1
You have a regular pulse, 1
Tell me about your program for the future, 1
was good The slipped economic class place Tony spring a This, 0
This solution this a money the of August dancing merchant The, 0
is stamps Let's started A spends was by on you scene, 0
bear just year Sir bite, 0
cotton Allow early I'd that complete fish reconsider keep see do, 0
of to cabin yourself I books this in the professor, 0
hand implying comes There Try too ahead it, 0
lying time the you Three The a, 0
It has There do, 0
matter ourselves where to out the of to you The, 0
Germany bankruptcy here upset That, 0
origins Sure yields in up Quite His you get to the, 0
A their nothing, 0
she that afternoon all the believe I'm to you, 0
a aside four last committee What your is, 0
Owing of On, 0
bought water The minutes that Jack liquor That largest opera This has, 0
constant This exchanged rest This, 0
him red interesting Whenever to this on, 0
The He's about regular No natural, 0
it United party you get the have, 0
by one several This will I my much at in poet in, 0
by away that are all, 0
put on of off was to in about must I napkin, 0
was poets as Let if absent It This small up it in, 0
economy you A made a sunlight man I'll is right, 0
for think So your of like valley, 0
As am is, 0
will to Friday clean were he Anyone of to, 0
ill hurry the white I'll this, 0
to little from, 0
of does like these of, 0
never any The War fire responsibility bank, 0
the What bought rained radio aboard for, 0
have it The not our found Your thirty Is future it a, 0
of things I to If in is to vacation him, 0
soup from custard green, 0
is What visit the slow salad in ish, 0
a increased There, 0
mode get You to, 0
I She fun did the services that introduce done, 0
lead alternate tell will the It The, 0
heard is ishmen place X-ray seat a our a think is, 0
picture came to typewriter the me, 0
I pencil You respects airport, 0
nothing swarming is one just long the Nara that, 0
by new a you are foolish go a Japan at to, 0
may the in As for health the At, 0
strike Could If get had found That is I've company, 0
Hanako you snow you I cutthroat street noises for often, 0
road the trust he'd finished, 0
me of The know, 0
couldn't The There For, 0
allow ask pipe was the Do professor year forward, 0
to I on increased you you too to, 0
do How sale will this will Since on, 0
guess come Everest town, 0
town I ne law at the, 0
whether toy to a dog, 0
not purpose What say content many every You Keep in to whole, 0
experience short The, 0
be this from, 0
inflated vacation team did be don't accident happen street, 0
never the you Ken, 0
The like going waiting rains Let came, 0
an The had This my of To from What's do such, 0
nonexistent Can your Keep if to proud to, 0
the desk count make she, 0
drive in some puzzled means satisfactory help, 0
dead annoys ball your The alone survived We, 0
foreign are work ecology sell you There has, 0
bus the she sufficient civilized fast here no, 0
in a doctor, 0
see are its do mountain your no Anyone, 0
an attributed very, 0
party the was slump This You e-mail, 0
plan extent smells, 0
disappear just he a There My system the many he, 0
well In New see eager up the to pans too I, 0
ride If your job ceiling, 0
Is the exchange not as is never What leave you to, 0
counts was running is have do on letter as, 0
to late in any a Representative of say at heavy wind, 0
is Some better to will As her it's, 0
It of How is Yomiuri Every, 0
please day You case the, 0
face famous comics, 0
turned drank were your Say a your turn, 0
forget from This was without You the of The The sick, 0
want car much hurt for I pleased, 0
eight at the should've day good Have low, 0
very have a of months immediate, 0
drastically Jim's It argument can she the, 0
sofa learned genuine to that' here a knows I'd came air the, 0
accident Please this little you tomorrow, 0
you with college says touch The in meals a stay so you, 0
to Your useful fastest want talk, 0
the road your your you, 0
the only some still advice beautiful may, 0
missing tired band chair channels do say against where, 0
to This to get pick I Ms Bill lie abounds relieve the, 0
